geographic_zone,school_type,gender,age_at_start_of_academic_year,class_level,grade_repetition_count,term_1_attendance,term_2_attendance,english_exam_score,math_exam_score,science_exam_score,social_studies_exam_score,average_exam_score,grade_repetition_count_missing,attendance_risk_index,dropout_label
1,1,0,12.0,3,0.0,98.0,91.0,63.0,67.0,64.0,67.0,65.25,0,0.061999999999999986,0
1,1,1,7.0,0,0.0,92.0,85.0,69.0,57.0,68.0,68.0,65.5,0,0.122,0
1,1,0,13.0,4,0.0,98.0,93.0,66.0,54.0,84.0,72.0,69.0,0,0.049999999999999975,0
0,1,0,9.0,0,0.0,78.0,79.0,60.0,55.0,59.0,61.0,58.75,0,0.21399999999999997,0
0,1,1,11.1,4,0.0,84.0,86.1,73.8,66.3,71.8,71.4,70.82499999999999,0,0.14740000000000003,0
1,1,0,14.0,4,0.0,80.0,75.0,61.0,48.0,55.0,63.0,56.75,0,0.22999999999999998,0
1,1,0,13.0,4,0.0,92.0,92.0,54.0,66.0,84.0,93.0,74.25,0,0.07999999999999996,0
0,1,0,15.0,4,0.0,77.0,82.0,50.0,52.0,52.0,54.0,52.0,0,0.2,0
0,1,0,10.0,3,0.0,87.0,88.0,84.0,53.0,74.0,91.0,75.5,0,0.124,0
1,1,1,12.0,3,1.0,98.0,89.0,69.0,82.0,92.0,70.0,78.25,0,0.074,0
1,1,1,12.0,3,1.0,96.0,90.0,58.0,84.0,75.0,43.0,65.0,0,0.076,0
1,1,1,13.0,4,0.0,97.0,98.0,74.0,51.0,63.0,59.0,61.75,0,0.02400000000000002,0
1,1,0,6.0,0,0.0,78.6,77.3,70.1,69.7,77.5,72.1,72.35,1,0.22180000000000002,0
0,0,0,14.0,4,0.0,83.0,83.0,66.0,70.0,61.0,65.0,65.5,0,0.17000000000000004,0
